"ASIGNATURA","#ESTUDIANTE","#MUJERES","#HOMBRE","SEMESTRE","MODALIDAD","TIPOESTRATEGIA","ESTRATEGIA","COMPETENCIA_EVALUAR","TIPOHERRAMIENTA","HERRAMIENTA","TIPOLICENCIA","FUNCIONES","INTERACCION","DISENO","USABILIDAD","DOCUMENTACION","ACTUALIZACIONES","%APROVECHAMIENTO","%APROBACION","VALORACION"
"Estadistica","51","4","47","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Organización de contenidos","MailChimp","Libre","Tablero","3","1","2","2","1","3","1.15","3"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Panel","Procedimental","Lineas de tiempo","me:time ","Hibrida","Tablero","1","1","3","3","5","1.4","0.95","4"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Organización de contenidos","MediaWiki","Propietaria","Tablero","2","5","5","1","3","1.25","4.95","3.5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Debate","Procedimental","Creacion de BLOG","Medium","Libre","Tablero","2","5","1","5","5","0.9","0.6","1.5"
"Creatividad","85","34","51","IV","Presencial","Didactica","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Comunicacion en linea y webconference","Meetup","Hibrida","Tablero","4","5","3","5","4","2.55","2.65","1.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Portafolio","Cognitivo","Gestor bibliograficos","Mendeley","Propietaria","Tablero","3","5","4","1","4","3.1","1.7","5"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Poster","Cognitivo","Presentaciones y multimedia","MENTIMETER","Libre","Tablero","5","3","5","5","1","0.95","3.85","4.5"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Proyectos","Cognitivo","Organización de contenidos","MentorMob ","Hibrida","Tablero","5","4","1","5","1","0.05","3.75","4.5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Busquedad de informacion","Microsoft Edge","Propietaria","Encuestas","2","3","2","5","3","2","4.8","2.5"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Creacion de actividades educativas-interactivas","MICROSOFT FORMS","Libre","Encuestas","1","5","4","4","4","1.75","4.75","4"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Aprendizaje Gestion de aprendizaje","Microsoft Learn","Hibrida","Encuestas","2","3","4","1","4","1.5","2.45","0.5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Organización de contenidos","Microsoft Planner","Propietaria","Encuestas","3","4","5","4","3","3.25","3.55","4"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Clase magistral","Actitudinal","Ofimaticas","Microsoft Publisher","Libre","Encuestas","3","1","4","3","3","2.1","2.05","2"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Comunicacion en linea y webconference","MICROSOFT STREAM","Hibrida","Encuestas","2","1","5","4","2","4.5","3.25","4"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Comunicacion en linea y webconference","MICROSOFT TEAMS","Propietaria","Encuestas","1","1","5","2","5","0.95","1.65","3"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Presentaciones y multimedia","Microsoft Whiteboard","Libre","Encuestas","4","2","1","5","2","2","0.35","4"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Organización de contenidos","Milanote","Hibrida","Encuestas","3","2","2","4","3","0.1","4.25","0.5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en problemas","Actitudinal","Aprendizaje Gestion de aprendizaje","Mind Tools","Propietaria","Video","5","2","2","3","3","2.7","3.55","2.5"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Mapas mentales","MindManager","Libre","Video","2","3","1","3","1","4.05","4.7","2"
"Calculo diferencial","52","38","14","II","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Organización de contenidos","Mindmeister","Hibrida","Video","3","4","1","3","2","2.45","4.55","4"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Dialogo problematizador y reflexivo ","Actitudinal","Organización de contenidos","Mondaycom","Propietaria","Video","4","2","4","1","2","2.45","1.35","0.5"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Creacion de video","Monosnap","Libre","Video","1","1","3","4","3","1.6","2.8","1"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Creacion de actividades educativas-interactivas","MOODLE","Hibrida","Video llamada","4","4","3","5","1","2.5","2.85","1"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Lectura independiente","Actitudinal","Presentaciones y multimedia","Moovly","Propietaria","Video llamada","3","1","1","4","2","0.65","3.75","5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Creacion de video","Movie Maker  ","Libre","Video llamada","4","2","2","3","3","1.25","2","3"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Presentaciones y multimedia","MURAL","Hibrida","Video llamada","3","4","5","2","4","2.5","3.3","3"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Organización de contenidos","My Study Life","Propietaria","Video llamada","4","3","4","4","4","1.4","3.3","4.5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Presentaciones y multimedia","Nearpod","Libre","Video llamada","1","2","4","1","2","2.5","2.6","0.5"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Organización de contenidos","Netvibes","Hibrida","Multimedia","1","3","3","4","5","3.6","4.65","5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Estudio de caso","Procedimental","Organización de contenidos","Notability","Propietaria","Multimedia","1","3","1","1","2","0.2","1","1.5"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Organización de contenidos","Notepad  ","Libre","Multimedia","1","1","4","5","2","0.95","1.35","0.5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Organización de contenidos","Notepad ++","Hibrida","Multimedia","3","3","2","2","1","3.1","2.55","0.5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Organización de contenidos","Obsidian","Propietaria","Multimedia","5","1","2","5","5","2.1","1.4","3.5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Creacion de video","OBS STUDIO","Libre","Multimedia","5","1","2","2","4","3.75","0.95","1.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Role Playing ","Procedimental","Organización de contenidos","Office Lens","Hibrida","Tablero","3","3","2","1","1","4.85","0.45","2.5"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Ofimaticas","Office Mix ","Propietaria","Tablero","5","3","2","2","5","1.65","0.3","4"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Panel","Procedimental","Organización de contenidos","OmniOutliner","Libre","Tablero","4","2","1","2","4","2.45","2.95","1.5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Organización de contenidos","ONEDRIVE","Hibrida","Tablero","3","1","1","4","4","4.55","0.3","5"
"Creatividad","85","34","51","IV","Presencial","Didactica","Debate","Procedimental","Organización de contenidos","ONENOTE","Propietaria","Tablero","4","2","3","5","2","1.85","0.65","4"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Aprendizaje Gestion de aprendizaje","Open edX","Libre","Tablero","4","4","4","5","5","4.55","0","3"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Portafolio","Cognitivo","Aprendizaje Gestion de aprendizaje","OpenLearn","Hibrida","Tablero","1","2","4","4","3","4.55","4.5","5"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Poster","Cognitivo","Ofimaticas","OpenOffice","Propietaria","Tablero","5","3","5","1","1","1.6","4.15","5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Proyectos","Cognitivo","Creacion de video","OpenShot","Libre","Tablero","4","2","3","2","1","3.55","0.1","3"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Busquedad de informacion","Opera","Hibrida","Tablero","2","1","5","3","2","0.8","3.85","2"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Presentaciones y multimedia","Otter","Propietaria","Encuestas","3","1","2","5","1","0.4","1.2","3"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Comunicacion en linea y webconference","OUTLOOK","Libre","Encuestas","1","1","5","1","1","0.3","2.3","3"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Presentaciones y multimedia","Overcast","Hibrida","Encuestas","3","3","1","1","3","3.25","2.05","2"
"Metodos numericos","16","4","12","VI","Presencial","Evaluacion","Rœbrica","Cognitivo","Creacion de actividades educativas-interactivas","ownCloud","Propietaria","Encuestas","2","2","4","1","1","0.1","4.9","0.5"
"Metodos numericos","29","14","15","VI","Dual","Evaluacion","Clase magistral","Actitudinal","Organización de contenidos","PADLET","Libre","Encuestas","3","1","5","1","4","0.75","0.25","3"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Presentaciones y multimedia","Paintnet","Hibrida","Encuestas","1","3","4","3","2","1.9","4.8","4"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Presentaciones y multimedia","Paintshop Pro","Propietaria","Encuestas","3","3","2","1","5","3.5","4.7","2"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Creacion de video","PANOPTO","Libre","Encuestas","2","3","5","1","1","3.6","0.45","1.5"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Organización de contenidos","Paperli","Hibrida","Encuestas","3","2","1","2","2","1.55","2.05","5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Aprendizaje basado en problemas","Actitudinal","Comunicacion en linea y webconference","Parallels","Propietaria","Video","1","4","4","5","5","3.95","3.1","5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Presentaciones y multimedia","Pear Deck","Libre","Video","5","4","4","2","4","4.1","4.95","3.5"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Organización de contenidos","Pearltrees","Hibrida","Video","2","4","3","5","4","3.55","4.7","1"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Comunicacion en linea y webconference","Periscope ","Propietaria","Video","3","2","3","4","1","2.1","3.1","0.5"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Organización de contenidos","Perusall","Libre","Video","2","3","3","5","4","2.55","1.9","1.5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Lectura independiente","Actitudinal","Presentaciones y multimedia","PhotoPeach","Hibrida","Video llamada","3","5","5","2","5","2.55","2.8","3.5"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Presentaciones y multimedia","Photostory ","Propietaria","Video llamada","4","2","4","1","2","4.65","2.35","2.5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Presentaciones y multimedia","Picasa ","Libre","Video llamada","4","4","1","5","1","2.9","3.8","1.5"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Presentaciones y multimedia","Picnik ","Hibrida","Video llamada","3","4","5","2","5","4.6","3.85","3"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Infografias","Piktochart","Propietaria","Video llamada","1","3","3","4","5","4.5","4.3","0.5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Repositorio de imagenes","PINTEREST","Libre","Video llamada","2","3","2","5","5","1.1","2.05","3.5"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Estudio de caso","Procedimental","Repositorio de imagenes","Pixabay","Hibrida","Multimedia","5","2","4","1","2","1.45","4.9","1"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Creacion de actividades educativas-interactivas","Pixton","Propietaria","Multimedia","1","3","1","4","2","3.15","3.2","0.5"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Creacion de video","PlayPosit","Libre","Multimedia","2","5","4","4","4","3.6","1.4","2.5"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Evaluacion","Plickers","Hibrida","Multimedia","5","1","3","3","3","1.35","3.4","0.5"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Aprendizaje Gestion de aprendizaje","Pluralsight","Propietaria","Multimedia","4","4","3","2","5","1.75","4.3","0.5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Role Playing ","Procedimental","Organización de contenidos","POCKET","Libre","Multimedia","1","2","1","4","1","4.55","3","0.5"
"Estadistica","51","4","47","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Presentaciones y multimedia","Podcast Addict","Hibrida","Tablero","1","5","1","2","1","1","1.15","3.5"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Panel","Procedimental","Presentaciones y multimedia","podcastco","Propietaria","Tablero","2","1","4","3","3","1.1","0.7","3"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Organización de contenidos","Podio","Libre","Tablero","4","4","5","1","5","2.7","2","2.5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Debate","Procedimental","Creacion de actividades educativas-interactivas","Polldaddy ","Hibrida","Tablero","1","1","1","2","2","2.65","2.2","1.5"
"Creatividad","85","34","51","IV","Presencial","Didactica","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Presentaciones y multimedia","Poll Everywhere","Propietaria","Tablero","1","3","4","4","4","1.4","4.8","3"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Portafolio","Cognitivo","Mapas mentales","Popplet","Libre","Tablero","1","3","3","1","4","4.35","2.35","0.5"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Poster","Cognitivo","Creacion de BLOG","Posterous ","Hibrida","Tablero","5","5","3","5","4","3.6","2.15","5"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Proyectos","Cognitivo","Creacion de objetos virtuales de aprendizaje","Power Automate","Propietaria","Tablero","3","1","1","2","4","0.6","0.45","3.5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Ofimaticas","POWERPOINT","Libre","Tablero","4","1","1","5","5","2.05","2.15","3"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Presentaciones y multimedia","POWTOON","Hibrida","Tablero","4","1","2","1","5","0.2","2.25","4"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Presentaciones y multimedia","Presenter Media","Propietaria","Encuestas","5","4","5","2","5","2.85","1.15","4.5"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Presentaciones y multimedia","PREZI","Libre","Encuestas","2","1","4","5","3","3","3.4","1"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Rœbrica","Cognitivo","Evaluacion","ProProfs Quiz Maker","Hibrida","Encuestas","2","4","2","5","5","0.8","3.35","4.5"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Clase magistral","Actitudinal","Evaluacion","QUIZIZZ","Propietaria","Encuestas","4","5","4","1","2","3.2","0.8","3.5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Aprendizaje Gestion de aprendizaje","QUIZLET","Libre","Encuestas","2","5","5","5","1","2.5","0.7","3"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Comunicacion en linea y webconference","Quora","Hibrida","Encuestas","4","2","4","4","2","2.25","2.7","4"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Ofimaticas","Readwise","Propietaria","Encuestas","1","3","2","5","3","4.1","3.75","1.5"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Organización de contenidos","Reeder 3","Libre","Encuestas","4","5","3","3","1","2.55","3.35","0.5"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en problemas","Actitudinal","Presentaciones y multimedia","Reflector","Hibrida","Encuestas","4","1","4","4","4","2.55","0.45","1"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Organización de contenidos","Remember the Milk","Propietaria","Video","5","5","5","2","5","0.95","4.2","4.5"
"Calculo diferencial","52","38","14","II","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Comunicacion en linea y webconference","Remind","Libre","Video","2","1","4","2","1","1.95","3.1","4"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Dialogo problematizador y reflexivo ","Actitudinal","Organización de contenidos","RoboForm","Hibrida","Video","3","1","2","1","1","5","0.55","4"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Busquedad de informacion","Safari","Propietaria","Video","5","4","1","5","4","1.3","3.05","0.5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Comunicacion en linea y webconference","Sakai","Libre","Video","5","1","3","3","2","4.3","4","5"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Lectura independiente","Actitudinal","Organización de contenidos","Schoology","Hibrida","Video llamada","2","4","4","5","1","1.4","0.85","2"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Aprendizaje Gestion de aprendizaje","Schoox","Propietaria","Video llamada","1","1","1","5","5","0.45","1.9","3"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Presentaciones y multimedia","Scoopit","Libre","Video llamada","4","4","5","5","1","0.9","0.4","5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Creacion de video","SCREENCASTIFY","Hibrida","Video llamada","2","1","1","4","2","1.8","1.5","5"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Creacion de video","SCREENCAST-O-MATIC","Propietaria","Video llamada","1","4","4","1","3","0.8","2.4","2.5"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Creacion de video","Screenflow","Libre","Video llamada","1","4","3","1","1","3.4","1.4","3"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Estudio de caso","Procedimental","Creacion de video","Screenr ","Hibrida","Multimedia","4","4","4","4","2","0.75","4.6","1"
"Programacion orientada a objetos","65","18","47","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Creacion de video","Screentoaster ","Propietaria","Multimedia","1","4","1","1","4","3.25","0.75","4"
"Metodologia de la investigacion","95","42","53","III","Presencial","Didactica","Trabajo por proyectos","Procedimental","Gestor bibliograficos","Scribd","Libre","Multimedia","2","1","5","5","2","0.45","1.55","3"
"Etica y convivencia","114","58","56","III","Presencial","Didactica","Gamificacion y videojuegos educativos","Procedimental","Organización de contenidos","Scrivener","Hibrida","Multimedia","1","5","3","4","1","0.35","3.9","3.5"
"Ecuaciones diferenciales","31","14","17","IV","Presencial","Didactica","Clase invertida (Flipped - Clasroom)","Procedimental","Creacion de video","Seesaw","Propietaria","Multimedia","1","2","5","1","4","1.4","3.5","2"
"Estadistica","51","4","47","IV","Presencial","Didactica","Role Playing ","Procedimental","Ofimaticas","Sejda","Libre","Multimedia","2","1","1","1","4","4.85","4.55","3.5"
"Electronica Digital","50","42","8","IV","Presencial","Didactica","Trabajo de investigacion","Procedimental","Organización de contenidos","SHAREPOINT","Hibrida","Tablero","5","3","5","4","3","2.55","3.25","3.5"
"Redes de computadores","23","0","23","IV","Presencial","Didactica","Panel","Procedimental","Organización de contenidos","Showbie","Propietaria","Tablero","2","1","5","3","1","3.35","4.5","4.5"
"Estructura de datos","95","50","45","IV","Presencial","Didactica","Simulacion Clinica","Procedimental","Repositorio de imagenes","Shutterstock","Libre","Tablero","3","5","4","2","4","0.9","5","3"
"Creatividad","85","34","51","IV","Presencial","Didactica","Debate","Procedimental","Creacion de actividades educativas-interactivas","Skils Base","Hibrida","Tablero","1","2","1","3","4","4.9","3.3","3.5"
"Formacion EstŽtica","89","33","56","IV","Presencial","Evaluacion","Pruebas Escritas (con feedback todas las alternativas)","Cognitivo","Aprendizaje Gestion de aprendizaje","Skillshare","Propietaria","Tablero","2","3","2","4","1","2.2","1.25","1"
"Calculo multivariado","71","20","51","V","Presencial","Evaluacion","Portafolio","Cognitivo","Comunicacion en linea y webconference","Skype","Libre","Tablero","5","3","2","4","4","1.05","4.6","1"
"Microprocesadores","30","20","10","V","Presencial","Evaluacion","Poster","Cognitivo","Comunicacion en linea y webconference","SLACK","Hibrida","Tablero","3","2","2","5","2","2.7","1.65","4.5"
"Bases de datos I","84","42","42","V","Presencial","Evaluacion","Proyectos","Cognitivo","Presentaciones y multimedia","SlidePresenter","Propietaria","Tablero","5","4","5","2","1","1.35","4.7","4"
"Sistemas de comunicacion","51","9","42","V","Presencial","Evaluacion","Ensayos","Cognitivo","Presentaciones y multimedia","Slides Timer","Libre","Tablero","2","1","3","5","1","4.65","0","3.5"
"Principios y desarrollo de software","75","37","38","V","Presencial","Evaluacion","Articulo cientifico","Cognitivo","Presentaciones y multimedia","Slidesgo","Hibrida","Tablero","5","1","2","4","2","4.45","3.55","2"
"Inovacion tecnologico","19","10","9","V","Presencial","Evaluacion","Bitacora de reflexion","Cognitivo","Presentaciones y multimedia","Slidesmania","Propietaria","Encuestas","4","1","5","2","1","0.65","0","0.5"
"Antropologia teologica","30","27","3","V","Presencial","Evaluacion","Trabajo de investigacion","Cognitivo","Presentaciones y multimedia","SLIDESHARE","Libre","Encuestas","3","1","2","3","2","3.9","1.4","1.5"
"Metodos numericos","16","4","12","VI","Presencial","Evaluacion","Rœbrica","Cognitivo","Creacion de actividades educativas-interactivas","Slido","Hibrida","Encuestas","3","1","1","4","5","3.5","2.85","1.5"
"Metodos numericos","29","14","15","VI","Dual","Evaluacion","Clase magistral","Actitudinal","Creacion de actividades educativas-interactivas","SMARTBoards","Propietaria","Encuestas","2","3","2","2","4","4.65","3.95","5"
"Fundamento Matematico","82","40","42","I","Dual"," Aprendizaje interactivo","Analisis de videos, imagenes,","Actitudinal","Creacion de actividades educativas-interactivas","Smartsheet","Libre","Encuestas","4","5","2","5","1","1.15","0.35","5"
"Fisica I","102","42","60","I","Dual"," Aprendizaje interactivo","Seminario","Actitudinal","Creacion de video","SNAGIT","Hibrida","Encuestas","1","4","2","5","4","1.75","0.85","0.5"
"Logica Matematica","34","30","4","I","Dual"," Aprendizaje interactivo","Exposiciones","Actitudinal","Comunicacion en linea y webconference","Snapchat","Propietaria","Encuestas","2","2","1","5","5","2.1","0.65","4"
"Introduccion a la ingenieria","54","33","21","I","Dual"," Aprendizaje interactivo","Socializacion y debates","Actitudinal","Organización de contenidos","Snip & Sketch","Libre","Encuestas","2","2","4","1","2","0.65","4.55","4"
"Algoritmia","42","30","12","I","Dual"," Aprendizaje interactivo","Aprendizaje basado en problemas","Actitudinal","Creacion de actividades educativas-interactivas","Socrative","Hibrida","Encuestas","5","1","1","5","2","1.3","4.9","4"
"Tecnicas de Lectura y escrita","58","38","20","I","Virtual","Aprendizaje colaborativo","Aprendizaje basado en proyectos","Actitudinal","Aprendizaje Gestion de aprendizaje","SoftChalk","Propietaria","Video","4","1","5","5","1","2.75","4.45","4"
"Vida universitaria","26","12","14","I","Virtual","Aprendizaje colaborativo","Analisis y discusion grupal","Actitudinal","Presentaciones y multimedia","SoundCloud","Libre","Video","3","1","1","2","1","2.75","2.3","3"
"Fisica II","45","26","19","II","Virtual","Aprendizaje colaborativo","Talleres practicos y analisis de casos ","Actitudinal","Busquedad de informacion","Stack Overflow","Hibrida","Video","1","3","4","5","5","2.7","1.4","1"
"Alegra lineal","81","23","58","II","Virtual","Aprendizaje colaborativo","Socializacion de producciones grupales  ","Actitudinal","Comunicacion en linea y webconference","StarLeaf","Propietaria","Video","3","1","4","4","2","5","2.95","3.5"
"Teoria general de sistemas","78","32","46","II","Virtual","Aprendizaje colaborativo","Lectura independiente","Actitudinal","Lineas de tiempo","Storify ","Libre","Video","3","4","4","4","2","2.5","3","4"
"Fundamentos de programacion","103","50","53","II","A distancia","Autoaprendizaje ","Indagacion y analisis de informacion","Actitudinal","Presentaciones y multimedia","Storybird","Hibrida","Video llamada","4","2","3","1","2","1.9","3.9","2.5"
"Investigacion bibliografia","56","50","6","II","A distancia","Autoaprendizaje ","Elaboracion de ensayo","Actitudinal","Creacion de actividades educativas-interactivas","Storyboard That","Propietaria","Video llamada","3","5","2","5","4","4.9","1.7","2.5"
"Catedra JDC","106","52","54","II","A distancia","Autoaprendizaje ","Produccion de texto cientifico","Actitudinal","Comunicacion en linea y webconference","Streamyard","Libre","Video llamada","4","1","2","5","2","4.6","2.35","2.5"
"Calculo integral","22","7","15","III","A distancia","Autoaprendizaje ","Trabajo Individual","Actitudinal","Creacion de actividades educativas-interactivas","SURVEYMONKEY","Hibrida","Video llamada","2","4","5","3","3","3.5","2.6","2"
"Teoria de la probabilidad","29","14","15","III","A distancia","Autoaprendizaje ","Desarrollo de Proyecto","Actitudinal","Lineas de tiempo","Sutori","Propietaria","Video llamada","4","1","2","3","5","1.9","3.4","4"
"Electronica Basica","78","23","55","III","A distancia","Autoaprendizaje ","Estudio de caso","Procedimental","Creacion de actividades educativas-interactivas","Sway","Libre","Video llamada","5","4","3","1","1","4","0.4","1.5"
"Arquitectura de computadores","63","15","48","III","Presencial","Didactica","Resolucion de problemas","Procedimental","Busquedad de informacion","Symbaloo","Hibrida","Multimedia","3","2","1","2","4","1.4","0.2","0.5"
